family	n_sequences_total	n_sequences_sampled
RF00979	13	10
RF00980	25	10
RF00981	17	10
RF00983	13	10
RF00984	34	10
RF00985	9	9
RF00986	18	10
RF00987	36	10
RF00988	15	10
RF00989	101	10
RF00990	13	10
RF00991	68	10
RF00992	12	10
RF00993	2	2
RF00994	99	10
RF00995	55	10
RF00996	59	10
RF00997	21	10
RF00998	11	10
RF00999	5	5
RF01000	12	10
RF01001	27	10
RF01002	8	8
RF01003	10	10
RF01004	7	7
RF01005	115	10
RF01006	5	5
RF01007	18	10
RF01008	8	8
RF01009	3	3
RF01010	84	10
RF01011	26	10
RF01012	25	10
RF01013	39	10
RF01014	50	10
RF01015	86	10
RF01016	70	10
RF01018	10	10
RF01019	11	10
RF01020	20	10
RF01021	14	10
RF01022	7	7
RF01023	8	8
RF01024	31	10
RF01025	15	10
RF01026	171	10
RF01027	14	10
RF01028	35	10
RF01029	9	9
RF01030	10	10
RF01031	13	10
RF01032	11	10
RF01033	40	10
RF01034	11	10
RF01035	4	4
RF01036	7	7
RF01037	3	3
RF01038	20	10
RF01039	13	10
RF01040	11	10
RF01041	19	10
RF01042	16	10
RF01043	21	10
RF01044	92	10
RF01045	7352	10
RF01046	11	10
RF01047	19	10
RF01050	13	10
RF01051	22210	10
RF01052	214	10
RF01053	2	2
RF01054	290	10
RF01055	4355	10
RF01056	173	10
RF01057	4964	10
RF01059	55	10
RF01061	1552	10
RF01064	12	10
RF01065	443	10
RF01066	844	10
RF01067	300	10
RF01068	1759	10
RF01069	472	10
RF01070	1132	10
RF01071	3050	10
RF01072	37	10
RF01073	1356	10
RF01074	20	10
RF01075	2	2
RF01076	3	3
RF01077	4	4
RF01078	4	4
RF01079	2	2
RF01080	4	4
RF01081	3	3
RF01082	4	4
RF01084	18	10
RF01085	2	2
RF01087	7	7
RF01088	3	3
RF01089	135	10
RF01090	33	10
RF01091	8	8
RF01092	1	1
RF01093	286	10
RF01094	2	2
RF01095	2	2
RF01096	2	2
RF01097	1799	10
RF01098	4	4
RF01099	47	10
RF01100	1	1
RF01101	3	3
RF01102	2	2
RF01103	2	2
RF01104	4	4
RF01105	1	1
RF01106	2	2
RF01107	1	1
RF01108	1	1
RF01113	3	3
RF01116	550	10
RF01117	4	4
RF01119	4	4
RF01120	14	10
RF01121	4	4
RF01122	7	7
RF01123	3	3
RF01124	6	6
RF01125	4	4
RF01126	19	10
RF01127	4	4
RF01128	7	7
RF01129	3	3
RF01130	41	10
RF01131	11	10
RF01132	3	3
RF01133	58	10
RF01134	11	10
RF01135	13	10
RF01136	9	9
RF01137	2	2
RF01138	8	8
RF01139	19	10
RF01140	34	10
RF01141	5	5
RF01142	4	4
RF01143	1	1
RF01144	16	10
RF01145	18	10
RF01146	2	2
RF01147	6	6
RF01149	4	4
RF01150	11	10
RF01151	95	10
RF01152	20	10
RF01153	13	10
RF01155	357	10
RF01156	210	10
RF01157	9	9
RF01158	41	10
RF01159	89	10
RF01160	20	10
RF01161	300	10
RF01162	22	10
RF01163	227	10
RF01164	83	10
RF01165	9	9
RF01166	26	10
RF01167	9	9
RF01168	120	10
RF01169	113	10
RF01170	310	10
RF01171	3	3
RF01172	9	9
RF01173	110	10
RF01174	109	10
RF01175	16	10
RF01176	38	10
RF01177	84	10
RF01178	449	10
RF01179	227	10
RF01180	36	10
RF01181	89	10
RF01182	350	10
RF01183	100	10
RF01184	70	10
RF01185	870	10
RF01186	334	10
RF01188	165	10
RF01189	8	8
RF01190	7	7
RF01191	673	10
RF01192	539	10
RF01193	359	10
RF01194	28	10
RF01195	31	10
RF01196	17	10
RF01197	63	10
RF01198	706	10
RF01199	5	5
RF01200	374	10
RF01201	72	10
RF01202	13	10
RF01203	106	10
RF01204	29	10
RF01205	5	5
RF01206	538	10
RF01207	375	10
RF01208	567	10
RF01209	91	10
RF01210	13452	10
RF01211	142	10
RF01212	61	10
RF01213	646	10
RF01214	200	10
RF01215	704	10
RF01216	45	10
RF01218	83	10
RF01219	1696	10
RF01220	459	10
RF01221	18	10
RF01222	8	8
RF01223	54	10
RF01224	591	10
RF01225	7198	10
RF01226	16	10
RF01227	832	10
RF01228	421	10
RF01229	653	10
RF01230	548	10
RF01231	1206	10
RF01232	19	10
RF01233	1164	10
RF01234	621	10
RF01235	5	5
RF01236	355	10
RF01237	31	10
RF01238	26	10
RF01239	62	10
RF01240	34	10
RF01241	1015	10
RF01242	600	10
RF01243	13	10
RF01244	33	10
RF01245	9	9
RF01246	6	6
RF01247	151	10
RF01248	87	10
RF01249	41	10
RF01250	23	10
RF01251	70	10
RF01252	79	10
RF01253	69	10
RF01254	42	10
RF01255	75	10
RF01256	88	10
RF01257	37	10
RF01258	91	10
RF01259	26	10
RF01260	27	10
RF01261	26	10
RF01262	513	10
RF01263	453	10
RF01264	16	10
RF01265	43	10
RF01266	27	10
RF01267	58	10
RF01268	594	10
RF01269	389	10
RF01270	7	7
RF01271	27	10
RF01272	9	9
RF01273	14	10
RF01274	51	10
RF01275	28	10
RF01276	4	4
RF01277	482	10
RF01278	223	10
RF01279	403	10
RF01280	486	10
RF01281	449	10
RF01283	260	10
RF01284	777	10
RF01285	991	10
RF01286	453	10
RF01287	523	10
RF01288	387	10
RF01289	22	10
RF01290	375	10
RF01291	559	10
RF01292	765	10
RF01293	45	10
RF01294	225	10
RF01295	549	10
RF01296	983	10
RF01297	2	2
RF01298	8	8
RF01299	658	10
RF01300	248	10
RF01301	40	10
RF01302	672	10
RF01303	9	9
RF01304	67	10
RF01305	25	10
RF01306	5	5
RF01307	31	10
RF01308	37	10
RF01309	50	10
RF01310	6	6
RF01312	7	7
RF01313	25	10
RF01314	14	10
RF01315	464	10
RF01316	125	10
RF01317	899	10
RF01318	351	10
RF01319	57	10
RF01320	159	10
RF01321	9	9
RF01322	107	10
RF01323	22	10
RF01324	9	9
RF01325	83	10
RF01326	19	10
RF01327	13	10
RF01328	3	3
RF01329	129	10
RF01330	313	10
RF01331	3	3
RF01332	9	9
RF01333	14	10
RF01334	12	10
RF01335	107	10
RF01336	61	10
RF01337	101	10
RF01338	17	10
RF01339	115	10
RF01340	137	10
RF01341	4	4
RF01342	2	2
RF01343	207	10
RF01344	38	10
RF01345	12	10
RF01346	5	5
RF01347	36	10
RF01348	5	5
RF01349	3	3
RF01350	2	2
RF01351	4	4
RF01352	54	10
RF01353	13	10
RF01354	6	6
RF01355	5	5
RF01356	38	10
RF01357	14	10
RF01358	13	10
RF01359	2	2
RF01360	4	4
RF01361	3	3
RF01362	54	10
RF01363	39	10
RF01364	2	2
RF01365	1	1
RF01366	6	6
RF01367	11	10
RF01368	2	2
RF01369	12	10
RF01370	36	10
RF01371	12	10
RF01373	8	8
RF01374	5	5
RF01375	1	1
RF01376	24	10
RF01377	1	1
RF01378	2	2
RF01379	6	6
RF01381	20	10
RF01383	66	10
RF01384	4	4
RF01385	159	10
RF01386	12	10
RF01387	66	10
RF01388	7	7
RF01389	11	10
RF01390	139	10
RF01391	9	9
RF01392	18	10
RF01393	37	10
RF01394	1937	10
RF01395	108	10
RF01396	547	10
RF01397	17	10
RF01398	8	8
RF01399	11	10
RF01400	147	10
RF01401	27	10
RF01402	14	10
RF01403	4	4
RF01404	2	2
RF01405	1042	10
RF01406	14	10
RF01407	74	10
RF01408	171	10
RF01409	31	10
RF01410	1334	10
RF01411	591	10
RF01412	1761	10
RF01413	3329	10
RF01414	131	10
RF01415	21	10
RF01416	30	10
RF01417	187	10
RF01418	59	10
RF01419	4270	10
RF01420	349	10
RF01421	1438	10
RF01422	269	10
RF01423	318	10
RF01424	497	10
RF01425	15	10
RF01426	322	10
RF01427	234	10
RF01428	528	10
RF01429	67	10
RF01430	657	10
RF01431	688	10
RF01432	569	10
RF01433	692	10
RF01434	3	3
RF01435	4	4
RF01436	3	3
RF01437	3	3
RF01438	74	10
RF01439	3	3
RF01440	3	3
RF01441	2	2
