family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF01315,transpred,464,464,0,0,1.0,0.9975369458128079,0.997747833634167
RF01316,transpred,125,125,0,0,1.0,0.4317049694715328,0.46267515177942875
RF01319,transpred,57,57,0,0,1.0,0.0,-0.0034047515125723337
RF01320,transpred,159,159,0,0,1.0,0.19330611264585482,0.21184935382163286
RF01327,transpred,13,13,0,0,1.0,0.0,0.0
RF01332,transpred,9,9,0,0,1.0,0.8268077601410933,0.8382677095043675
RF01337,transpred,101,101,0,0,1.0,0.9541468432557535,0.9566478512228781
RF01339,transpred,115,115,0,0,1.0,0.6367357322983916,0.6786064945442677
RF01341,transpred,4,4,0,0,1.0,0.6994047619047619,0.724869208497431
RF01348,transpred,5,5,0,0,1.0,0.7563025210084034,0.795456312843883
RF01349,transpred,3,3,0,0,1.0,0.8333333333333334,0.8439384714425991
RF01352,transpred,54,54,0,0,1.0,0.0,0.0
RF01353,transpred,13,13,0,0,1.0,0.0,-0.0024507698748585504
RF01355,transpred,5,5,0,0,1.0,0.09743589743589744,0.10528661504136239
RF01360,transpred,4,4,0,0,1.0,0.3885561497326203,0.4858882555712798
RF01364,transpred,2,2,0,0,1.0,0.4830917874396135,0.5271668622631571
RF01365,transpred,1,1,0,0,1.0,0.8,0.7995517059114485
RF01366,transpred,6,6,0,0,1.0,0.5099290114769991,0.513776616247182
RF01371,transpred,12,12,0,0,1.0,0.6695210247841827,0.70715721971154
RF01377,transpred,1,1,0,0,1.0,0.42105263157894735,0.5120894936891673
RF01378,transpred,2,2,0,0,1.0,0.5857142857142856,0.6123650438641441
RF01381,transpred,20,20,0,0,1.0,0.4924603174603175,0.49587236335633056
RF01385,transpred,159,159,0,0,1.0,0.05383068843943963,0.0559829353212539
RF01392,transpred,18,18,0,0,1.0,0.02679329426084466,0.02976844401135695
RF01396,transpred,547,547,0,0,1.0,0.0261924586442515,0.02681850036774754
RF01398,transpred,8,8,0,0,1.0,0.3505033492045503,0.35737962882958674
